Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDZ48,OUT010,2181.28891358
FDS24,OUT027,2181.28891358
FDK44,OUT049,2181.28891358
FDS48,OUT045,2181.28891358
FDK26,OUT010,2181.28891358
FDD23,OUT045,2181.28891358
NCH54,OUT017,2181.28891358
NCP14,OUT010,2181.28891358
FDM60,OUT010,2181.28891358
FDV24,OUT017,2181.28891358
FDH08,OUT018,2181.28891358
FDS12,OUT027,2181.28891358
FDR39,OUT027,2181.28891358
FDP12,OUT027,2181.28891358
DRF60,OUT027,2181.28891358
FDC09,OUT035,2181.28891358
FDF50,OUT018,2181.28891358
FDG28,OUT035,2181.28891358
NCE19,OUT017,2181.28891358
NCM53,OUT010,2181.28891358
NCN18,OUT049,2181.28891358
FDF32,OUT035,2181.28891358
FDF11,OUT013,2181.28891358
DRI59,OUT049,2181.28891358
NCG54,OUT035,2181.28891358
FDM44,OUT046,2181.28891358
FDT57,OUT018,2181.28891358
FDV24,OUT046,2181.28891358
FDI50,OUT019,2181.28891358
FDS09,OUT035,2181.28891358
NCC31,OUT027,2181.28891358
FDQ07,OUT019,2181.28891358
FDC22,OUT017,2181.28891358
FDZ56,OUT046,2181.28891358
FDZ40,OUT019,2181.28891358
FDS46,OUT027,2181.28891358
DRD24,OUT045,2181.28891358
FDV45,OUT017,2181.28891358
FDL26,OUT045,2181.28891358
FDA56,OUT018,2181.28891358
FDN27,OUT046,2181.28891358
FDM20,OUT049,2181.28891358
FDO16,OUT017,2181.28891358
FDL03,OUT035,2181.28891358
FDE58,OUT046,2181.28891358
FDI02,OUT027,2181.28891358
NCC55,OUT019,2181.28891358
FDR03,OUT018,2181.28891358
FDB14,OUT017,2181.28891358
FDR45,OUT013,2181.28891358
NCN07,OUT017,2181.28891358
FDM51,OUT019,2181.28891358
FDT52,OUT027,2181.28891358
FDL26,OUT046,2181.28891358
NCZ42,OUT046,2181.28891358
DRI47,OUT019,2181.28891358
FDW40,OUT013,2181.28891358
FDN34,OUT046,2181.28891358
FDS01,OUT035,2181.28891358
NCG55,OUT045,2181.28891358
FDC11,OUT035,2181.28891358
FDX35,OUT018,2181.28891358
NCB06,OUT046,2181.28891358
FDR09,OUT019,2181.28891358
FDC53,OUT017,2181.28891358
FDY45,OUT013,2181.28891358
FDA22,OUT010,2181.28891358
FDE02,OUT035,2181.28891358
FDW21,OUT045,2181.28891358
FDV34,OUT046,2181.28891358
FDS59,OUT049,2181.28891358
NCW17,OUT017,2181.28891358
NCK54,OUT046,2181.28891358
FDG17,OUT019,2181.28891358
FDG35,OUT017,2181.28891358
FDD08,OUT010,2181.28891358
NCO07,OUT017,2181.28891358
FDJ10,OUT010,2181.28891358
FDW36,OUT017,2181.28891358
FDW21,OUT010,2181.28891358
FDY19,OUT017,2181.28891358
DRE03,OUT013,2181.28891358
NCC55,OUT049,2181.28891358
FDH52,OUT010,2181.28891358
FDO09,OUT017,2181.28891358
FDU43,OUT045,2181.28891358
FDX09,OUT010,2181.28891358
FDH40,OUT019,2181.28891358
FDW58,OUT017,2181.28891358
FDC47,OUT017,2181.28891358
NCR41,OUT035,2181.28891358
DRG49,OUT035,2181.28891358
FDC52,OUT027,2181.28891358
FDY13,OUT046,2181.28891358
FDY35,OUT013,2181.28891358
FDI35,OUT017,2181.28891358
NCU18,OUT049,2181.28891358
FDY33,OUT018,2181.28891358
FDC15,OUT027,2181.28891358
FDU01,OUT049,2181.28891358
NCU42,OUT046,2181.28891358
NCV29,OUT018,2181.28891358
NCY30,OUT017,2181.28891358
FDQ46,OUT049,2181.28891358
FDG58,OUT027,2181.28891358
FDK33,OUT017,2181.28891358
NCD07,OUT045,2181.28891358
NCX29,OUT027,2181.28891358
NCT42,OUT013,2181.28891358
DRN59,OUT035,2181.28891358
FDI44,OUT035,2181.28891358
FDA45,OUT049,2181.28891358
FDP31,OUT045,2181.28891358
FDY01,OUT046,2181.28891358
FDT09,OUT018,2181.28891358
DRH03,OUT027,2181.28891358
FDA36,OUT018,2181.28891358
NCF31,OUT017,2181.28891358
FDG14,OUT049,2181.28891358
FDG28,OUT027,2181.28891358
FDU14,OUT049,2181.28891358
FDY47,OUT019,2181.28891358
FDI56,OUT049,2181.28891358
DRD01,OUT013,2181.28891358
FDM22,OUT046,2181.28891358
FDH33,OUT013,2181.28891358
DRZ24,OUT013,2181.28891358
NCQ38,OUT046,2181.28891358
FDO16,OUT027,2181.28891358
FDU07,OUT027,2181.28891358
NCB07,OUT013,2181.28891358
FDU48,OUT045,2181.28891358
NCM43,OUT045,2181.28891358
FDR31,OUT010,2181.28891358
DRK49,OUT018,2181.28891358
NCI30,OUT010,2181.28891358
DRD60,OUT017,2181.28891358
NCG19,OUT046,2181.28891358
FDH12,OUT035,2181.28891358
FDM32,OUT035,2181.28891358
FDM27,OUT035,2181.28891358
NCU53,OUT027,2181.28891358
NCQ18,OUT046,2181.28891358
FDS10,OUT013,2181.28891358
FDB33,OUT027,2181.28891358
FDI12,OUT013,2181.28891358
NCW42,OUT013,2181.28891358
NCC06,OUT018,2181.28891358
FDW02,OUT017,2181.28891358
NCD43,OUT017,2181.28891358
FDM57,OUT018,2181.28891358
FDA58,OUT017,2181.28891358
FDK56,OUT046,2181.28891358
FDP52,OUT045,2181.28891358
FDW20,OUT018,2181.28891358
FDS52,OUT049,2181.28891358
NCT29,OUT018,2181.28891358
NCL54,OUT013,2181.28891358
FDC05,OUT045,2181.28891358
FDF34,OUT035,2181.28891358
FDP03,OUT027,2181.28891358
FDD32,OUT010,2181.28891358
FDZ10,OUT045,2181.28891358
FDZ40,OUT035,2181.28891358
FDD51,OUT018,2181.28891358
NCY30,OUT019,2181.28891358
FDP58,OUT017,2181.28891358
FDV49,OUT017,2181.28891358
FDY24,OUT019,2181.28891358
NCO55,OUT017,2181.28891358
FDR13,OUT017,2181.28891358
FDS51,OUT017,2181.28891358
FDP26,OUT045,2181.28891358
NCB54,OUT027,2181.28891358
FDF32,OUT017,2181.28891358
FDN31,OUT018,2181.28891358
DRM48,OUT017,2181.28891358
FDN20,OUT049,2181.28891358
DRL01,OUT046,2181.28891358
FDV56,OUT049,2181.28891358
DRH13,OUT027,2181.28891358
FDA03,OUT017,2181.28891358
FDF47,OUT027,2181.28891358
FDX32,OUT046,2181.28891358
FDX57,OUT049,2181.28891358
NCA30,OUT045,2181.28891358
FDO49,OUT013,2181.28891358
FDL04,OUT019,2181.28891358
DRM48,OUT035,2181.28891358
FDR16,OUT013,2181.28891358
NCC19,OUT018,2181.28891358
NCE42,OUT045,2181.28891358
FDY24,OUT017,2181.28891358
FDH19,OUT049,2181.28891358
FDJ46,OUT013,2181.28891358
FDN45,OUT010,2181.28891358
FDY08,OUT035,2181.28891358
FDZ37,OUT035,2181.28891358
NCT30,OUT045,2181.28891358
DRY23,OUT018,2181.28891358
NCZ30,OUT018,2181.28891358
FDC44,OUT018,2181.28891358
FDB45,OUT035,2181.28891358
FDY04,OUT013,2181.28891358
FDM27,OUT046,2181.28891358
FDZ43,OUT017,2181.28891358
FDT39,OUT019,2181.28891358
NCC06,OUT019,2181.28891358
FDL15,OUT027,2181.28891358
FDL57,OUT017,2181.28891358
FDU08,OUT046,2181.28891358
FDK40,OUT017,2181.28891358
FDQ12,OUT010,2181.28891358
FDS48,OUT017,2181.28891358
FDP09,OUT045,2181.28891358
FDW21,OUT049,2181.28891358
FDY25,OUT035,2181.28891358
DRE13,OUT017,2181.28891358
FDV43,OUT019,2181.28891358
FDD22,OUT045,2181.28891358
FDM46,OUT019,2181.28891358
NCO30,OUT010,2181.28891358
FDM25,OUT046,2181.28891358
NCN41,OUT049,2181.28891358
FDU24,OUT045,2181.28891358
FDZ50,OUT046,2181.28891358
FDP45,OUT013,2181.28891358
NCM54,OUT045,2181.28891358
FDW10,OUT019,2181.28891358
FDP20,OUT017,2181.28891358
FDK32,OUT046,2181.28891358
FDN52,OUT049,2181.28891358
FDM58,OUT045,2181.28891358
FDZ46,OUT027,2181.28891358
NCA18,OUT018,2181.28891358
FDD35,OUT046,2181.28891358
NCK31,OUT035,2181.28891358
FDI40,OUT027,2181.28891358
FDT50,OUT019,2181.28891358
NCT06,OUT046,2181.28891358
FDT31,OUT035,2181.28891358
FDT45,OUT049,2181.28891358
FDT13,OUT045,2181.28891358
FDO50,OUT045,2181.28891358
NCU18,OUT010,2181.28891358
NCR54,OUT049,2181.28891358
NCO18,OUT018,2181.28891358
FDU09,OUT045,2181.28891358
FDT13,OUT018,2181.28891358
FDE09,OUT046,2181.28891358
NCK53,OUT019,2181.28891358
FDG45,OUT049,2181.28891358
DRH15,OUT035,2181.28891358
FDO21,OUT019,2181.28891358
FDD14,OUT027,2181.28891358
FDC09,OUT046,2181.28891358
FDH45,OUT027,2181.28891358
FDV32,OUT046,2181.28891358
FDG12,OUT035,2181.28891358
FDS32,OUT013,2181.28891358
NCL55,OUT018,2181.28891358
DRE01,OUT035,2181.28891358
DRE15,OUT049,2181.28891358
NCL42,OUT045,2181.28891358
FDP31,OUT013,2181.28891358
FDN33,OUT018,2181.28891358
FDZ59,OUT046,2181.28891358
FDE45,OUT010,2181.28891358
FDJ07,OUT013,2181.28891358
FDQ45,OUT018,2181.28891358
FDM33,OUT027,2181.28891358
FDO15,OUT010,2181.28891358
FDM46,OUT013,2181.28891358
FDR03,OUT045,2181.28891358
FDY49,OUT018,2181.28891358
FDQ60,OUT045,2181.28891358
FDW10,OUT049,2181.28891358
FDO51,OUT049,2181.28891358
FDJ40,OUT018,2181.28891358
FDS20,OUT018,2181.28891358
FDU45,OUT013,2181.28891358
FDV02,OUT035,2181.28891358
FDN09,OUT046,2181.28891358
NCM55,OUT027,2181.28891358
FDN23,OUT018,2181.28891358
FDY31,OUT010,2181.28891358
FDW03,OUT010,2181.28891358
FDD14,OUT046,2181.28891358
FDV23,OUT017,2181.28891358
DRI03,OUT045,2181.28891358
FDN13,OUT035,2181.28891358
FDF45,OUT027,2181.28891358
FDU46,OUT035,2181.28891358
FDB57,OUT049,2181.28891358
FDV12,OUT049,2181.28891358
FDQ58,OUT013,2181.28891358
NCA18,OUT017,2181.28891358
FDH52,OUT049,2181.28891358
FDM24,OUT018,2181.28891358
NCP43,OUT027,2181.28891358
NCO18,OUT019,2181.28891358
FDM32,OUT017,2181.28891358
NCL07,OUT017,2181.28891358
FDK03,OUT013,2181.28891358
FDP59,OUT017,2181.28891358
FDQ24,OUT049,2181.28891358
FDQ16,OUT018,2181.28891358
FDU44,OUT013,2181.28891358
FDH28,OUT010,2181.28891358
FDV28,OUT019,2181.28891358
FDM22,OUT045,2181.28891358
FDR56,OUT046,2181.28891358
FDV39,OUT049,2181.28891358
FDU37,OUT019,2181.28891358
FDQ11,OUT010,2181.28891358
FDX02,OUT045,2181.28891358
NCS42,OUT018,2181.28891358
FDY57,OUT027,2181.28891358
FDB21,OUT049,2181.28891358
FDE28,OUT017,2181.28891358
FDQ55,OUT017,2181.28891358
FDA48,OUT049,2181.28891358
FDZ19,OUT045,2181.28891358
NCC43,OUT045,2181.28891358
NCV18,OUT046,2181.28891358
NCA42,OUT018,2181.28891358
FDY45,OUT046,2181.28891358
NCC30,OUT045,2181.28891358
FDM57,OUT013,2181.28891358
FDL09,OUT010,2181.28891358
FDB09,OUT027,2181.28891358
FDT44,OUT035,2181.28891358
NCT06,OUT027,2181.28891358
FDX26,OUT049,2181.28891358
FDK32,OUT013,2181.28891358
DRA12,OUT046,2181.28891358
FDO46,OUT010,2181.28891358
FDE52,OUT013,2181.28891358
NCH42,OUT045,2181.28891358
FDV08,OUT035,2181.28891358
FDB47,OUT018,2181.28891358
FDC28,OUT010,2181.28891358
FDD22,OUT046,2181.28891358
FDS07,OUT027,2181.28891358
DRI13,OUT045,2181.28891358
FDG32,OUT018,2181.28891358
FDU14,OUT017,2181.28891358
FDD28,OUT019,2181.28891358
NCP41,OUT017,2181.28891358
FDS08,OUT049,2181.28891358
FDX47,OUT045,2181.28891358
FDC53,OUT019,2181.28891358
FDQ19,OUT035,2181.28891358
FDL14,OUT045,2181.28891358
FDM33,OUT019,2181.28891358
FDA51,OUT045,2181.28891358
FDZ27,OUT018,2181.28891358
FDT04,OUT046,2181.28891358
DRC13,OUT049,2181.28891358
FDR16,OUT027,2181.28891358
FDQ03,OUT027,2181.28891358
FDE38,OUT035,2181.28891358
DRH23,OUT027,2181.28891358
FDT11,OUT019,2181.28891358
FDD09,OUT035,2181.28891358
FDR40,OUT045,2181.28891358
FDX07,OUT017,2181.28891358
FDR07,OUT035,2181.28891358
FDA51,OUT017,2181.28891358
FDT59,OUT019,2181.28891358
FDF20,OUT017,2181.28891358
FDR13,OUT045,2181.28891358
FDY26,OUT049,2181.28891358
FDW04,OUT017,2181.28891358
FDK52,OUT017,2181.28891358
FDN60,OUT049,2181.28891358
FDM09,OUT019,2181.28891358
FDP46,OUT049,2181.28891358
FDB50,OUT019,2181.28891358
NCQ29,OUT049,2181.28891358
FDP16,OUT027,2181.28891358
FDX33,OUT018,2181.28891358
FDP07,OUT010,2181.28891358
FDN22,OUT046,2181.28891358
FDF39,OUT049,2181.28891358
FDS21,OUT017,2181.28891358
NCM42,OUT013,2181.28891358
FDK50,OUT019,2181.28891358
DRF13,OUT027,2181.28891358
FDH35,OUT018,2181.28891358
FDP60,OUT018,2181.28891358
DRJ49,OUT027,2181.28891358
NCT42,OUT019,2181.28891358
FDE38,OUT049,2181.28891358
FDI04,OUT049,2181.28891358
NCH54,OUT045,2181.28891358
FDT56,OUT049,2181.28891358
DRD15,OUT018,2181.28891358
FDV58,OUT013,2181.28891358
FDP21,OUT049,2181.28891358
FDH05,OUT013,2181.28891358
FDR10,OUT027,2181.28891358
NCP06,OUT045,2181.28891358
FDF33,OUT049,2181.28891358
DRK37,OUT013,2181.28891358
DRH49,OUT045,2181.28891358
FDT58,OUT013,2181.28891358
FDD41,OUT018,2181.28891358
FDP40,OUT018,2181.28891358
FDM51,OUT027,2181.28891358
FDO45,OUT010,2181.28891358
FDW33,OUT010,2181.28891358
FDY24,OUT045,2181.28891358
FDB10,OUT010,2181.28891358
FDM40,OUT035,2181.28891358
NCI06,OUT017,2181.28891358
FDW12,OUT019,2181.28891358
FDX48,OUT027,2181.28891358
NCW05,OUT027,2181.28891358
FDX27,OUT017,2181.28891358
DRM37,OUT045,2181.28891358
FDA38,OUT045,2181.28891358
FDR36,OUT046,2181.28891358
FDZ45,OUT046,2181.28891358
FDG05,OUT017,2181.28891358
FDK28,OUT013,2181.28891358
FDV47,OUT045,2181.28891358
FDN21,OUT045,2181.28891358
FDP20,OUT027,2181.28891358
FDI35,OUT045,2181.28891358
DRY23,OUT013,2181.28891358
FDA56,OUT017,2181.28891358
FDB09,OUT013,2181.28891358
NCO26,OUT027,2181.28891358
FDQ49,OUT018,2181.28891358
FDI52,OUT027,2181.28891358
FDZ44,OUT027,2181.28891358
FDZ09,OUT018,2181.28891358
FDY03,OUT049,2181.28891358
NCG42,OUT017,2181.28891358
DRI13,OUT027,2181.28891358
FDQ32,OUT013,2181.28891358
FDW16,OUT035,2181.28891358
FDU27,OUT046,2181.28891358
FDR28,OUT010,2181.28891358
FDQ49,OUT010,2181.28891358
FDS37,OUT046,2181.28891358
FDW26,OUT018,2181.28891358
FDX12,OUT018,2181.28891358
NCP06,OUT013,2181.28891358
FDW45,OUT010,2181.28891358
NCN30,OUT049,2181.28891358
FDN24,OUT049,2181.28891358
NCL41,OUT027,2181.28891358
FDR02,OUT019,2181.28891358
FDD09,OUT010,2181.28891358
FDS33,OUT010,2181.28891358
FDU22,OUT045,2181.28891358
FDI53,OUT013,2181.28891358
DRH01,OUT049,2181.28891358
FDX32,OUT013,2181.28891358
NCP30,OUT018,2181.28891358
FDB60,OUT045,2181.28891358
FDB14,OUT049,2181.28891358
NCP02,OUT035,2181.28891358
FDJ10,OUT017,2181.28891358
FDG34,OUT046,2181.28891358
NCB18,OUT017,2181.28891358
FDM16,OUT049,2181.28891358
FDW25,OUT018,2181.28891358
FDB35,OUT010,2181.28891358
DRN11,OUT013,2181.28891358
FDF41,OUT019,2181.28891358
FDH16,OUT045,2181.28891358
NCQ50,OUT018,2181.28891358
DRH23,OUT018,2181.28891358
DRJ37,OUT013,2181.28891358
DRJ24,OUT027,2181.28891358
FDY16,OUT035,2181.28891358
FDQ27,OUT045,2181.28891358
FDZ33,OUT045,2181.28891358
FDF29,OUT045,2181.28891358
FDA08,OUT049,2181.28891358
FDG31,OUT046,2181.28891358
FDE34,OUT019,2181.28891358
NCR30,OUT027,2181.28891358
FDV33,OUT035,2181.28891358
DRZ24,OUT018,2181.28891358
NCL54,OUT035,2181.28891358
FDR12,OUT049,2181.28891358
NCC54,OUT046,2181.28891358
DRN59,OUT013,2181.28891358
FDX50,OUT019,2181.28891358
FDV31,OUT027,2181.28891358
NCA29,OUT027,2181.28891358
FDW60,OUT049,2181.28891358
FDX08,OUT017,2181.28891358
DRD49,OUT013,2181.28891358
FDD33,OUT046,2181.28891358
FDW35,OUT013,2181.28891358
FDJ36,OUT017,2181.28891358
FDV51,OUT035,2181.28891358
FDW36,OUT046,2181.28891358
FDH35,OUT046,2181.28891358
NCS30,OUT027,2181.28891358
FDN49,OUT017,2181.28891358
FDL08,OUT018,2181.28891358
FDI09,OUT013,2181.28891358
FDP19,OUT018,2181.28891358
FDU21,OUT010,2181.28891358
NCP41,OUT045,2181.28891358
FDY10,OUT013,2181.28891358
FDP12,OUT018,2181.28891358
NCN26,OUT049,2181.28891358
FDK44,OUT013,2181.28891358
FDC28,OUT049,2181.28891358
FDJ41,OUT027,2181.28891358
NCT29,OUT035,2181.28891358
NCH42,OUT019,2181.28891358
FDU60,OUT018,2181.28891358
FDS02,OUT045,2181.28891358
FDC51,OUT046,2181.28891358
FDU03,OUT013,2181.28891358
FDX39,OUT045,2181.28891358
NCY05,OUT010,2181.28891358
NCL06,OUT027,2181.28891358
FDD32,OUT035,2181.28891358
NCN41,OUT045,2181.28891358
NCX53,OUT049,2181.28891358
FDU57,OUT019,2181.28891358
FDQ23,OUT046,2181.28891358
FDQ52,OUT045,2181.28891358
FDC14,OUT045,2181.28891358
FDY09,OUT035,2181.28891358
FDQ28,OUT045,2181.28891358
FDV25,OUT046,2181.28891358
FDJ07,OUT035,2181.28891358
DRB25,OUT049,2181.28891358
FDK52,OUT019,2181.28891358
FDY52,OUT027,2181.28891358
FDB28,OUT046,2181.28891358
FDT36,OUT035,2181.28891358
FDV25,OUT017,2181.28891358
NCN07,OUT027,2181.28891358
FDC57,OUT017,2181.28891358
FDQ03,OUT018,2181.28891358
FDU23,OUT017,2181.28891358
NCX41,OUT035,2181.28891358
NCD06,OUT035,2181.28891358
FDW08,OUT045,2181.28891358
NCU29,OUT017,2181.28891358
NCE06,OUT013,2181.28891358
FDV52,OUT010,2181.28891358
FDB02,OUT017,2181.28891358
NCR18,OUT045,2181.28891358
FDK16,OUT049,2181.28891358
NCQ29,OUT010,2181.28891358
FDZ01,OUT019,2181.28891358
FDW27,OUT035,2181.28891358
FDD17,OUT018,2181.28891358
FDW39,OUT013,2181.28891358
DRH59,OUT045,2181.28891358
FDS52,OUT013,2181.28891358
FDU40,OUT027,2181.28891358
NCF54,OUT013,2181.28891358
FDH46,OUT045,2181.28891358
NCP14,OUT049,2181.28891358
FDH50,OUT049,2181.28891358
DRF15,OUT010,2181.28891358
FDV27,OUT027,2181.28891358
NCJ06,OUT049,2181.28891358
FDN02,OUT018,2181.28891358
FDQ51,OUT049,2181.28891358
FDQ07,OUT017,2181.28891358
FDS45,OUT049,2181.28891358
NCJ06,OUT045,2181.28891358
FDD36,OUT035,2181.28891358
FDY25,OUT045,2181.28891358
FDU52,OUT046,2181.28891358
DRK47,OUT017,2181.28891358
NCL30,OUT017,2181.28891358
FDN22,OUT035,2181.28891358
NCF30,OUT027,2181.28891358
FDK03,OUT035,2181.28891358
FDT45,OUT017,2181.28891358
NCC54,OUT027,2181.28891358
FDP08,OUT018,2181.28891358
FDU44,OUT046,2181.28891358
DRG39,OUT035,2181.28891358
FDU32,OUT049,2181.28891358
FDY27,OUT049,2181.28891358
NCP54,OUT013,2181.28891358
NCZ41,OUT049,2181.28891358
DRL49,OUT013,2181.28891358
FDI05,OUT018,2181.28891358
FDY56,OUT045,2181.28891358
DRC13,OUT013,2181.28891358
NCV29,OUT017,2181.28891358
FDR24,OUT049,2181.28891358
FDZ34,OUT018,2181.28891358
FDP37,OUT035,2181.28891358
FDX08,OUT027,2181.28891358
FDS57,OUT045,2181.28891358
NCG18,OUT049,2181.28891358
FDK25,OUT018,2181.28891358
FDH53,OUT049,2181.28891358
DRI59,OUT018,2181.28891358
FDA52,OUT046,2181.28891358
FDT20,OUT010,2181.28891358
FDE36,OUT019,2181.28891358
FDI24,OUT017,2181.28891358
FDB28,OUT018,2181.28891358
FDV11,OUT017,2181.28891358
FDP01,OUT046,2181.28891358
FDD34,OUT027,2181.28891358
FDJ50,OUT027,2181.28891358
FDZ44,OUT013,2181.28891358
DRO59,OUT035,2181.28891358
DRB48,OUT045,2181.28891358
FDR21,OUT018,2181.28891358
NCE42,OUT010,2181.28891358
FDO23,OUT046,2181.28891358
NCE30,OUT018,2181.28891358
FDQ22,OUT035,2181.28891358
FDY01,OUT045,2181.28891358
FDS08,OUT017,2181.28891358
FDG28,OUT018,2181.28891358
FDQ51,OUT018,2181.28891358
FDB05,OUT017,2181.28891358
FDO56,OUT049,2181.28891358
FDE02,OUT018,2181.28891358
FDN45,OUT017,2181.28891358
FDS09,OUT013,2181.28891358
NCA54,OUT018,2181.28891358
FDP09,OUT010,2181.28891358
FDC53,OUT045,2181.28891358
NCM55,OUT017,2181.28891358
FDL09,OUT018,2181.28891358
FDA11,OUT019,2181.28891358
FDA50,OUT045,2181.28891358
FDC23,OUT017,2181.28891358
FDE22,OUT049,2181.28891358
FDD23,OUT046,2181.28891358
NCA29,OUT049,2181.28891358
FDK38,OUT046,2181.28891358
DRC13,OUT046,2181.28891358
NCP43,OUT049,2181.28891358
FDX28,OUT049,2181.28891358
FDF08,OUT049,2181.28891358
FDZ33,OUT046,2181.28891358
